METADATA.FEATURE,METADATA.GROUP,METADATA.personal-code,METADATA.swymerId,POINTS,What functionality would be a good addition?,ai-system-evaluation.benefit-of-doubt,ai-system-evaluation.classification-comprehensible,What criteria do you usually use to judge whether a news/article is reliable?,ai-system-evaluation.easy-to-follow-what-system-does,ai-system-evaluation.everyday-work-helpful,ai-system-evaluation.know-what-will-happen-next-time,ai-system-evaluation.most-useful-explanation-feature,What other information would you like to obtain to better assess the truthfulness of an article?,ai-system-evaluation.rely-on-ai-system,ai-system-evaluation.sceptical-about-ai-system,ai-system-evaluation.system-able-to-classify-news-articles,ai-system-evaluation.system-able-to-detect-fake-news,ai-system-evaluation.system-can-correctly-classify-news-articles,ai-system-evaluation.system-can-efficiently-classify-news-articles,ai-system-evaluation.system-criteria-acceptable,ai-system-evaluation.system-decides-consistently,ai-system-evaluation.system-decides-neutral,ai-system-evaluation.system-has-functionality-for-work,ai-system-evaluation.system-helpful,ai-system-evaluation.system-supports-decision-making,ai-system-evaluation.tend-to-trust-system-even-without-knowledge,ai-system-evaluation.tendency-to-trust-system-high,ai-system-evaluation.trust-new-tech,ai-system-evaluation.understand-what-system-bases-decision-on,ai-system-evaluation.understand-why-system-provided-decision,ai-system-evaluation.value-speed-or-comprehensiveness,You stated that the system is not helpful for your everyday work. Why?,confirm.0,demographics.age,demographics.country,demographics.education,demographics.employment,demographics.gender,demographics.income,demographics.nationality,expectations.benefit-of-doubt,expectations.rely-on-ai-for-fake-news-detection,expectations.sceptical-about-ai,expectations.trust-ai,expectations.trust-new-tech,information-literacy.access-relevant-literature,information-literacy.check-reliability,information-literacy.differentiate-right-and-fake,information-literacy.efficiently-use-subscribed-and-openaccess,information-literacy.have-it-skills,information-literacy.identify-authentic-sources,information-literacy.identify-misinformation,information-literacy.plagiarism-and-publication-ethics,information-literacy.research-level-skilss,information-seeking.access.google,information-seeking.access.library,information-seeking.access.personal-purchase,information-seeking.access.websites,information-seeking.accessibility-of-information-about-transparency,information-seeking.comprehensive-information,information-seeking.most-used-sources.0,information-seeking.most-used-sources.1,information-seeking.most-used-sources.2,information-seeking.purpose.general-awareness,information-seeking.purpose.keep-up-to-date,information-seeking.purpose.preparing-research,information-seeking.sources.blogs-websites,information-seeking.sources.facebook,information-seeking.sources.instagram,information-seeking.sources.interview,information-seeking.sources.newspaper,information-seeking.sources.online-newspaper,information-seeking.sources.personal-social-networks,information-seeking.sources.twitter,information-seeking.top-source-seriousness,information-seeking.truthfulness.facebook,information-seeking.truthfulness.instagram,information-seeking.truthfulness.newspaper,information-seeking.truthfulness.online-newspaper,information-seeking.truthfulness.twitter,journalist,journalist2,news-dashboard-evaluation.assist-decisions,news-dashboard-evaluation.complicated-explainability-features,news-dashboard-evaluation.comprehensible-explanations-help-assess-news-articles,news-dashboard-evaluation.comprehensible-useful-metadata,news-dashboard-evaluation.help-detect-fake-news-faster,news-dashboard-evaluation.increase-effectiveness-fake-news-detection,news-dashboard-evaluation.long-learning-time-not-worth,news-dashboard-evaluation.satisfied-with-explanatory-quality,news-dashboard-evaluation.useful-assess-news-articles,news-dashboard-evaluation.useful-explanations-news,newsitem.10.control-question,newsitem.10.rating-after-xai,newsitem.10.rating-before-xai,newsitem.10.system-evaluation.classified-correctly,newsitem.10.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.10.system-evaluation.indications-useful,newsitem.10.system-evaluation.understand-what-system-does,newsitem.10.system-evaluation.xai-features-useful,newsitem.11.control-question,newsitem.11.rating-after-xai,newsitem.11.rating-before-xai,newsitem.11.system-evaluation.classified-correctly,newsitem.11.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.11.system-evaluation.indications-useful,newsitem.11.system-evaluation.understand-what-system-does,newsitem.11.system-evaluation.xai-features-useful,newsitem.12.control-question,newsitem.12.rating-after-xai,newsitem.12.rating-before-xai,newsitem.12.system-evaluation.classified-correctly,newsitem.12.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.12.system-evaluation.indications-useful,newsitem.12.system-evaluation.understand-what-system-does,newsitem.12.system-evaluation.xai-features-useful,newsitem.13.control-question,newsitem.13.rating-after-xai,newsitem.13.rating-before-xai,newsitem.13.system-evaluation.classified-correctly,newsitem.13.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.13.system-evaluation.indications-useful,newsitem.13.system-evaluation.understand-what-system-does,newsitem.13.system-evaluation.xai-features-useful,newsitem.14.control-question,newsitem.14.rating-after-xai,newsitem.14.rating-before-xai,newsitem.14.system-evaluation.classified-correctly,newsitem.14.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.14.system-evaluation.indications-useful,newsitem.14.system-evaluation.understand-what-system-does,newsitem.14.system-evaluation.xai-features-useful,newsitem.7.control-question,newsitem.7.rating-after-xai,newsitem.7.rating-before-xai,newsitem.7.system-evaluation.classified-correctly,newsitem.7.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.7.system-evaluation.indications-useful,newsitem.7.system-evaluation.understand-what-system-does,newsitem.7.system-evaluation.xai-features-useful,newsitem.8.control-question,newsitem.8.rating-after-xai,newsitem.8.rating-before-xai,newsitem.8.system-evaluation.classified-correctly,newsitem.8.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.8.system-evaluation.indications-useful,newsitem.8.system-evaluation.understand-what-system-does,newsitem.8.system-evaluation.xai-features-useful,newsitem.9.control-question,newsitem.9.rating-after-xai,newsitem.9.rating-before-xai,newsitem.9.system-evaluation.classified-correctly,newsitem.9.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.9.system-evaluation.indications-useful,newsitem.9.system-evaluation.understand-what-system-does,newsitem.9.system-evaluation.xai-features-useful,workDurationInSeconds,newsitem.7.agrees_with_ai,newsitem.8.agrees_with_ai,newsitem.9.agrees_with_ai,newsitem.10.agrees_with_ai,newsitem.11.agrees_with_ai,newsitem.12.agrees_with_ai,newsitem.13.agrees_with_ai,newsitem.14.agrees_with_ai,correct_human_detection,understandability_overall_local,understandability_overall_global,trust_overall_global,trust_overall_local,usefulness_overall_global,usefulness_overall_local,information_literacy_overall,expectation_before_ai_overall,expectations_after_ai_overall,newsitem.7.human-before-correct,newsitem.7.human-after-correct,newsitem.8.human-before-correct,newsitem.8.human-after-correct,newsitem.9.human-before-correct,newsitem.9.human-after-correct,newsitem.10.human-before-correct,newsitem.10.human-after-correct,newsitem.11.human-before-correct,newsitem.11.human-after-correct,newsitem.12.human-before-correct,newsitem.12.human-after-correct,newsitem.13.human-before-correct,newsitem.13.human-after-correct,newsitem.14.human-before-correct,newsitem.14.human-after-correct,human_accuracy,human_precision,human_recall,human_f1,human_roc_auc_score,human_brier_score,human_ai_accuracy,human_ai_precision,human_ai_recall,human_ai_f1,human_ai_roc_auc_score,human_ai_brier_score,accuracy_change
basic,2,UUH81,XAI_62864328619330,8,"more criteria, specific information on how the AI works, rating based on specific chunks of text not the text as a whole (which may always contain bits of truth along with fakes)",5,4,prior knowledge; specific agenda talking points of interested groups; quick check if people mentioned match with organisations they're being connected with; source,1,2.0,2,publishing-date,specific chunks of text AI thinks is reliable/fake; quick fact checking if people-organizations-issues match; more criteria than source for the reliability-score,2,4,4,2,4,4,4,2,4,1.0,1,2,1,1,6,2,2,comprehensiveness,"assessments not consistent; if source and date is the only data used for assessment this a) is not enough b) not helpful because it takes me 2 secs to check this the ""old"" way myself :)",Yes,40-49,Germany,upper-secondary,salaried-employee,male,50000-74999-usd,german,6,2,3,5,6,4,4,5,4,6,5,5,4,2,5,2,2,5,5,7,online-newspaper,newspaper,twitter,7,6,2,3,1,1,1.0,3,7,2,3,6,4,4,6,6,4,Yes,Yes,1,1,1,2,2,2,6,4,2,1,correct,75,75,4,1,1,2,1,correct,50,50,4,1,1,2,1,correct,0,0,4,1,1,2,1,correct,0,0,4,1,1,2,1,correct,70,70,4,1,1,2,1,correct,30,30,4,1,1,2,1,correct,50,50,4,1,1,2,1,correct,70,70,4,1,1,2,1,2338,False,False,False,True,False,True,False,False,2.0,1.0,1.5,2.6875,3.0,2.3333333333333335,1.0,4.333333333333333,4.4,4.25,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,0.5,0.6666666666666666,0.4,0.5,0.7666666666666667,0.2040625,0.5,0.6666666666666666,0.4,0.5,0.7666666666666667,0.2040625,0.0
free-text,2,AHB96,XAI_20673810036166,8,Links to other sources that consider the topic,5,6,common sense,7,4.0,6,information-about-the-source,author,4,3,6,5,5,5,6,5,5,4.0,4,6,5,5,5,7,6,comprehensiveness,,Yes,30-39,Germany,university,salaried-employee,male,no-answer,German,5,5,3,3,5,6,6,6,7,6,6,5,6,6,6,5,5,6,6,7,online-newspaper,instagram,blogs-websites,6,6,6,6,4,6,5.0,4,6,6,5,7,3,3,6,6,3,Yes,Yes,5,2,6,5,7,5,6,5,5,6,correct,90,73,7,7,7,7,7,correct,16,84,7,7,7,7,7,correct,0,0,7,7,7,7,7,correct,50,10,6,6,6,6,6,correct,10,85,7,7,7,7,7,correct,60,40,7,6,5,6,6,correct,56,66,5,6,6,6,6,correct,4,9,6,6,6,6,6,3093,False,False,True,True,False,True,False,False,3.0,6.5,5.5,5.625,6.5,5.666666666666667,6.416666666666667,6.0,4.2,4.25,False,True,False,False,True,True,True,True,False,True,True,True,True,False,True,False,0.625,0.75,0.6,0.6666666666666665,0.8,0.2018375,0.625,0.75,0.6,0.6666666666666665,0.8,0.19635000000000002,0.0
basic,2,AGO63,XAI_80772913636523,8,Not sure,2,2,Reputation of media organisation,2,1.0,2,information-about-the-source,Name of the news organisation,1,1,2,3,2,2,1,2,2,1.0,1,3,1,1,2,2,2,comprehensiveness,Because it cannot correctly identify fake news,Yes,21-29,Germany,university,salaried-employee,male,less-than-20000-usd,Brazilian,2,1,1,1,1,7,7,7,4,3,5,6,7,7,6,2,6,5,6,7,online-newspaper,twitter,interview,7,7,5,5,2,4,6.0,3,7,4,6,7,3,4,7,7,5,Yes,Yes,4,1,4,6,6,5,5,5,6,1,correct,94,69,6,6,6,6,6,correct,0,0,5,6,2,5,5,correct,0,0,7,7,4,5,6,correct,1,1,1,5,1,2,5,correct,95,94,1,6,1,1,6,correct,66,16,5,7,4,6,5,correct,1,0,1,6,2,6,6,correct,3,51,6,7,7,3,6,1124,False,True,False,True,True,True,False,False,4.0,6.5,5.0,2.125,5.083333333333333,4.5,4.916666666666667,5.888888888888889,1.2,1.5,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,0.75,0.8,0.8,0.8000000000000002,0.9333333333333333,0.1331875,1.0,1.0,1.0,1.0,1.0,0.015349999999999999,0.25
salient,2,CGR11,XAI_24598715142356,7,show related news from other sources,4,5,"Source, my own knowledge or opinion, wording, probability",3,,4,readability,related news from other sources,3,3,6,4,5,5,3,4,4,,4,4,4,2,4,3,4,comprehensiveness,,Yes,50-59,Germany,high-school,salaried-employee,male,20000-34999-usd,german,5,5,5,3,4,6,6,5,5,3,6,6,7,6,6,1,6,5,6,7,online-newspaper,blogs-websites,personal-social-networks,6,6,6,5,1,1,,4,6,5,4,6,4,4,6,6,4,No,No,5,4,4,2,4,4,5,5,4,5,correct,90,75,6,6,6,6,6,correct,10,20,6,6,6,6,6,correct,1,0,6,5,5,5,6,wrong-2,0,0,1,5,5,5,5,correct,71,70,2,3,3,3,5,correct,90,70,6,6,6,6,6,correct,20,20,4,4,4,5,6,correct,70,70,3,3,3,3,3,2667,True,True,False,True,True,True,False,False,5.0,5.0,3.0,4.0625,5.166666666666667,4.5,5.25,5.555555555555555,4.4,3.5,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,0.875,1.0,0.8,0.888888888888889,0.9333333333333333,0.1015625,0.875,1.0,0.8,0.888888888888889,1.0,0.080525,0.0
free-text,2,ARS85,XAI_68952921039563,7,More information about who built AI and how it works.,3,5,Use more sources,5,3.0,3,information-about-the-source,More than one source to substantiate to the truth content,3,5,5,4,4,4,5,2,3,3.0,3,5,3,2,3,5,5,comprehensiveness,I would need to find out who built AI and understand if it is trustworthy. That's more work.,Yes,30-39,Germany,university,salaried-employee,female,35000-49999-usd,German,2,3,2,2,3,6,6,5,7,3,6,6,7,6,4,6,6,6,5,6,interview,blogs-websites,online-newspaper,7,7,7,7,1,2,6.0,6,7,7,2,6,2,2,5,5,2,Yes,Yes,5,3,5,3,5,4,5,5,5,5,correct,73,51,5,4,4,5,5,correct,24,30,6,6,6,6,6,wrong-1,19,44,5,4,4,4,4,correct,18,53,6,6,6,6,6,correct,64,83,5,5,4,3,4,correct,31,24,6,3,3,5,3,correct,66,87,6,4,4,5,4,correct,32,69,6,5,5,5,5,2326,False,False,False,True,True,True,True,False,3.0,4.333333333333333,4.0,4.0625,5.333333333333333,4.833333333333333,4.416666666666667,5.777777777777778,2.4,3.5,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,0.5,0.6666666666666666,0.4,0.5,0.4,0.3305125,0.75,0.8,0.8,0.8000000000000002,0.8,0.1678375,0.25
free-text,2,DMB13,XAI_65859245136917,8,--,5,6,the language which is used,6,,5,information-about-the-source,Other sources like website articles,6,5,6,6,6,6,7,6,7,,6,6,6,6,4,5,6,speed,,Yes,21-29,Germany,high-school,student,female,less-than-20000-usd,German,6,3,3,3,2,6,6,6,6,3,6,4,6,5,7,1,6,7,7,6,instagram,blogs-websites,personal-social-networks,7,4,3,6,1,7,,1,2,5,1,5,3,5,7,6,3,No,No,6,2,6,6,6,6,6,6,6,7,correct,92,92,7,7,7,6,7,correct,39,49,7,7,7,7,7,correct,4,4,7,7,7,6,7,correct,69,49,7,7,7,7,7,correct,11,99,7,7,7,7,7,correct,81,66,7,7,7,7,7,correct,31,19,7,7,7,7,7,correct,15,26,7,7,7,7,7,2175,True,True,True,True,True,True,False,False,6.0,7.0,6.0,6.0,6.833333333333333,6.166666666666667,7.0,5.333333333333333,3.4,5.0,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,1.0,1.0,1.0,1.0,1.0,0.08844999999999999,0.75,0.8,0.8,0.8000000000000002,0.7333333333333334,0.197875,-0.25
basic,2,MRB62,XAI_90749583676082,7,"grammar check, hate speech check ",6,4,double check the source and check if that information is already in other news outlets,4,6.0,4,truthfulness-assessment,"the AI System needs to explain why it makes the decision, on what sources is the decision based besides the date and the source. Maybe something like grammar or hatespeech?",3,3,5,6,6,5,4,6,7,2.0,5,5,3,4,6,5,5,comprehensiveness,,Yes,21-29,Germany,university,salaried-employee,female,35000-49999-usd,German,5,7,5,6,6,7,6,6,6,2,6,5,7,7,7,3,5,7,6,7,newspaper,online-newspaper,personal-social-networks,7,6,7,5,1,6,6.0,7,7,7,4,7,1,3,7,6,1,Yes,Yes,6,1,4,2,4,5,7,3,6,6,correct,85,77,7,5,5,6,6,correct,25,28,7,5,6,6,4,correct,2,2,7,5,4,7,4,correct,3,3,1,6,3,2,3,correct,83,85,1,3,3,1,3,wrong-3,89,89,7,6,6,7,6,correct,47,47,7,6,6,7,7,correct,10,10,7,6,3,6,3,2147,True,True,True,True,True,True,False,False,6.0,5.5,3.0,4.75,6.75,5.666666666666667,5.0,5.777777777777778,5.8,4.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.049762499999999994,1.0,1.0,1.0,1.0,1.0,0.044775,0.0
free-text,2,SBK54,XAI_42657275578350,8,"Needs to be more clear why the system decides like this, I don't know where the system get the information from the natural languag explanation. Maybe one can add the sources for this summary",6,6,Sources and grammar,7,6.0,7,natural-language-explanation,How the system get the infos for the natural language explanation,5,6,6,6,6,7,6,7,7,4.0,5,6,6,6,5,7,7,comprehensiveness,,Yes,30-39,Germany,university,salaried-employee,female,35000-49999-usd,German,5,3,6,6,6,6,6,6,6,4,7,6,7,7,6,4,5,7,6,7,newspaper,online-newspaper,interview,7,6,7,5,2,5,7.0,7,7,6,3,7,3,4,7,6,2,Yes,Yes,6,2,6,6,5,6,5,7,6,6,correct,92,64,6,7,7,7,7,correct,21,69,6,7,6,5,7,correct,3,15,6,7,7,6,6,correct,16,10,3,2,3,3,2,correct,69,90,3,4,3,3,4,correct,90,93,7,7,6,6,6,correct,47,74,5,7,6,6,6,correct,5,18,6,6,5,6,7,1509,True,False,True,True,False,True,False,False,4.0,6.833333333333333,6.0,6.5,6.0,5.666666666666667,6.333333333333333,6.111111111111111,5.2,5.5,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,0.75,1.0,0.6,0.7499999999999999,0.8666666666666667,0.15413749999999998,1.0,1.0,1.0,1.0,1.0,0.0508125,0.25
